20/05/2014;27/05/2014;abc0014;C;Nuova ricerca net.config;E' stata pubblicata una nuova modalità di ricerca in net.config permette di individuare quali comandi sono presenti sulle configurazioni e fornisce indicazioni anche su quali apparati invece non sono presenti. Per maggiori informazioni contattate il Services Backoffice backoffice@vem.com o al numero 0543/725005.;
09/12/2013;16/12/2013;abc0013;I;nuovo versione agente Net.inventory 3.016;E' stata rilasciata la nuova versione 3.016 dell'agent net.inventory che aggiunge il supporto a Windows 8.1. Consigliamo il passaggio alla nuova versione. Per ogni chiarimento contattare il nostro backoffice (backoffice@vem.com).;
17/07/2012;24/07/2012;abc0012;M;Novità net.watch;Con piacere ti comunichiamo le ultime novità apportate al servizio net.watchDa oggi è infatti possibile monitorare-	dettaglio della velocità e del duplex sulle porte degli switch -	stato dei peer bgp-	MPDU (Modular Power Distribution Unit) unità di distribuzione dell'alimentazione all'interno dei rack;
17/05/2012;24/05/2012;abc0011;Tutti;Richieste a backoffice;Gentile clienteda oggi è possibile inoltrare tutte le richieste di chiarimento o di modifica del perimetro sui contratti di assistenza net.sys net.assistance e software assurance (come la sostituzione di un device e l'aggiunta di referenti abilitati a chiamare il NOC) direttamente a NOC Backoffice utilizzando il form presente nella sezione "help desk".;
09/05/2012;16/05/2012;abc0010;C;Nuove funzionalità net.config;Gentile clienteè con piacere che ti comunichiamo alcune importanti novità apportate al servizio net.config e di seguito elencate-	baseline facoltativa-	cerca su macro gruppi-	report elenco dei file di flash ios -	salvataggio e gestione delle configurazioni di apparati Fortinet.Ti invitiamo a leggere il documento allegato per conoscere nel dettaglio le nuove funzionalità introdotte.Per qualsiasi chiarimento in merito ti inviamo a scrivere a backoffice@vem.com;
09/05/2012;16/05/2012;abc0009;M;Nuove funzionalità net.watch;Gentile clienteè con piacere che ti comunichiamo alcuni importati novità apportate al servizio net.watch.Troverai tutte le nuove funzionalità descritte nel documento allegato.Per qualsiasi chiarimento in merito ti inviamo a scrivere a backoffice@vem.com;
23/04/2012;30/04/2012;abc0008;Tutti;Modifica password portale myvem.com;Gentile ClienteLa informiamo che a partire dal 7 maggio p.v. verrà modificato il metodo di autenticazione al portale myvem.comPer motivi di sicurezza infatti la password avrà durata 6 mesi (un pop-up ne notificherà la scadenza)Per chi al 7 maggio non avesse mai modificato la password comunicata all'atto di sottoscrizione dei contratti sarà invece richiesto il cambio immediato della password.Per qualsiasi chiarimento in merito La inviamo a scrivere a backoffice@vem.com;
03/04/2012;10/04/2012;abc0007;I;Nuove funzionalità net.Inventory;Gentile Clientecon piacere ti comunico alcuni importanti aggiornamenti apportati al servizio net.inventory consultabili nel pdf allegato;
19/10/2011;26/10/2011;abc0006;M;POE Policy;Gentile ClienteLa informiamo che net.watch permette di documentare le policy di risparmio energetico applicate alle porte degli Switch Cisco POE. Se interessato ad abilitare la funzionalità può contattare il Backoffice - backoffice@vem.com.;
19/10/2011;26/10/2011;abc0005;M;IP SLA;Gentile ClienteLa informiamo che net.watch permette di monitorare i tempi di risposta delle linee geografiche. Se interessato ad attivare questa funzionalità scrivere una email a backoffice@vem.com.;
24/08/2011;31/08/2011;abc0004;M;HSRP Failover;Gentile ClienteLa informiamo che net.watch permette di monitorare cambi di stato HSRP di switch e router Cisco e/o il failover di apparati Cisco ASA. A fronte di cambio di stato HSRP e failover si riceve un allarme che sarà visibile con il cambio del colore dell'icona degli apparati nella MonitorMap e nella sezione allarmi.;
24/08/2011;31/08/2011;abc0003;M;Monitoring stack switch;Gentile ClienteLa informiamo che net.watch permette di monitorare lo stato dello stack degli apparati Cisco 3750 e 2960s. A fronte di un'anomalia sullo stack si riceve un allarme che sarà visibile con il cambio del colore dell'icona degli apparati nella MonitorMap e nella sezione allarmi.;
06/05/2011;13/05/2011;abc0002;M;Riverbed;Gentile ClienteLa informiamo che raccoglieremo informazioni aggiuntive sul monitoring riguardo apparati Riverbed. In particolare - numero di connessioni ottimizzate- traffico ottimizzato in ingresso e in uscita (byte/sec)- % di compressione del traffico - raccolta dati di utilizzo dei link LAN e WAN anche tramite netflowLe informazioni saranno visibili nella MonitorMap nella voce Utilizzo Device dell'apparato Riverbed. Mentre i dati Netflow sono visibili attraverso i link. ;
03/05/2011;10/05/2011;abc0001;Tutti;Fascia manutenzione;Gentile ClienteLa informiamo che è possibile impostare delle fasce orarie di manutenzione ripetute e schedulate sul calendario settimanale per evitare di ricevere allarmi a fronte di impostazioni per lo spegnimento notturno dei dispositivi tramite EnergyWise o per la non disponibilità di server/servizi a fronte di backup. Per la relativa configurazione La invitiamo a contattare backoffice@vem.com.;
19/04/2011;26/04/2011;abc0000;M;Wireless SSID;Gentile Clientela informiamo che raccoglieremo informazioni aggiuntive sul monitoring in ambito wireless. In particolare -           SSID definiti su un WLC con dettagli sull'autenticazione impostata sicurezza broadcast-           SSID configurati sui singoli AP-           Rogue AP rilevati da un WLCLe informazioni saranno visibili nella sezione delle reti wireless cliccando sul WLC e in mappa nel menù contestale "Informazioni wlan" dell'oggetto WLC.;
08/04/2011;15/04/2011;abc0001;Tutti;Manutenzione myvem.com;Gentile Clientela presente per comunicarle che in data 9 aprile dalle ore 1200 alle ore 1500 saranno effettuate attività di manutenzione ai server web e al portale my.vem.Pertanto non sarà disponibile l'accesso web per l'apertura dei ticket. Il servizio via e-mail e il supporto telefonico saranno comunque attivi.Ci scusiamo per il disagio.Siamo a sua disposizione per qualsiasi chiarimento o necessità.;
